county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01067,62,716,23,35398,4087,0.1751896256422804
01067,71,11,5,243,4087,0.0026914607291411794
01067,72,254,29,4214,4087,0.062148275018350865
01067,81,191,40,7339,4087,0.046733545387815024
01069,11,22,4,2137,44694,4.922360943303352e-4
01069,22,19,3,1343,44694,4.2511299055801675e-4
01069,23,1827,211,98721,44694,0.04087797019734193
01069,31-33,4572,107,249403,44694,0.1022956101490133
01069,42,3336,159,198940,44694,0.0746408913948181
01069,44-45,7696,543,276464,44694,0.17219313554392088
01069,48-49,2019,102,113078,44694,0.045173848838770306
01069,51,474,43,23875,44694,0.010605450396026313
01069,52,1125,189,81517,44694,0.02517116391461941
01069,53,548,110,33427,44694,0.012261153622410167
01069,54,1214,221,85731,44694,0.02716248265986486
01069,55,467,18,42285,44694,0.01044882982055757
